Brend:,Qurğunun növü:,Seriya:,Form-faktor:,SİM kartının növü:,"Ekranın diaqonalı, düym:",Operativ yaddaşın həcmi:,"Ekranın qətnaməsi, Mp:",Yaddaşın əsas həcmi:,Ekran texnologiyası:,Prosessor:,Prosessorun nüvələr sayı:,Daxili yaddaş həcmi:,Yaddaş kartlarının dəstəklənməsi:,Yaddaş kartları üçün yuvalar:,"Əsas kamera, Mp:","Əsas kamera dəsti, Mp:","Ön kamera, Mp:",Wi-Fi standartı:,Bluetooth standartı:,Qoşulma portu:,Simsiz enerji toplama:,Korpusun qorunması:,"Akkumulyatorun həcmi, mA/saat:",Rabitə standartları:,Digər funksiyalar və xüsusiyyətlər:,Bazarın başlanğıc ili:,İstehsalçı ölkə:,Brendin ölkəsi:,Komplektasiya:,Rəng:,Korpusun materialı:,"Hündürlüyü, mm:","Çəki, q:","Qalınlığı, mm:","Eni, mm:",Price
Fly,Mobil telefon,,Monoblok,,2.8,1 Gb qədər,320 x 240,,TN,,,,,microSD,5 Mp qədər,0.8,,,,MicroUSB,Xeyr,,3000 qədər,2G,Zərbəyə davamlı korpus,,Çin,Böyük Britaniya,,Boz,Plastik,134.0,128.0,13,57.0,85.5
Hope,Mobil telefon,Hope K19,Monoblok,,2.4,1 Gb qədər,,,,,,1 Gb qədər,Bəli,,,,,,,MicroUSB,Xeyr,,3000 qədər,2G,,,Çin,Çin,SmartfonTəlimat,Qara,Plastik,,,,,83.9
Hope,Mobil telefon,Hope K21,Monoblok,,,,,,,,,,Bəli,,,,,,,,Xeyr,,3000 qədər,,,,Çin,Çin,SmartfonTəlimat,Qara,Plastik,,,,,95.0
Siccoo,Mobil telefon,Siccoo S6700,Slayder,SIM,2.0,,,,,,,,Bəli,microSD,,,,,,,Xeyr,,3000 qədər,2G,,,Çin,Çin,TəlimatAdapter,Qızılı,Plastik,,,,,85.0
Nokia,Mobil telefon,Nokia 105,Monoblok,Mini-SIM,1.8,1 Gb qədər,160 x 120,4 Mb,TFT,,,1 Gb qədər,Xeyr,Yoxdur,,,,,,MicroUSB,Xeyr,Toza davamlı,3000 qədər,2G,Fənər,2019.0,Çin,Finlandiya,SmartfonTəlimatAdapter,Mavi,Plastik,112.0,73.0,14.4,49.5,51.1
Itel,Mobil telefon,Itel IT2320 DS,Monoblok,Mini-SIM,1.77,,160 x 128,32 Mb,TN,,,1 Gb qədər,Bəli,microSD,5 Mp qədər,,,,2.1,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,,Çin,Çin,SmartfonTəlimatAdapter,Ağ,Plastik,119.5,95.0,13.9,51.0,31.8
Philips,Mobil telefon,Philips Xenium,Monoblok,SIM,2.4,,320 x 240,,TFT,,,,Bəli,microSD,5 Mp qədər,0.3,,,2.1,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,,Çin,Niderland,TəlimatAkkumulyatorAdapterSmartfon,Qırmızı,,120.0,100.0,14,51.0,79.0
Geecoo,Mobil telefon,,,Nano-SIMMicro-SIM,2.4,1 Gb qədər,320 x 240,,IPS,,1.0,,Bəli,microSD,5 Mp qədər,,,,5.0,,Xeyr,,3000 qədər,2G,Fənər,2019.0,Çin,Çin,,Bənövşəyi,,,,,,79.0
Geecoo,Mobil telefon,,Monoblok,Nano-SIMMicro-SIM,2.4,1 Gb qədər,640 x 360,256 Mb,IPS,,,1 Gb qədər,,,5 Mp qədər,,,,,,Xeyr,,3000 qədər,,Fənər,,Çin,Çin,,Göy,,,,,,78.4
Elari,Mobil telefon,Elari NanoPhone,Monoblok,Micro-SIM,1.1,,64 x 128,32 Mb,OLED,,,1 Gb qədər,Bəli,microSD,,,,,3.0,,Xeyr,,3000 qədər,2G,,,Çin,,,Boz,Metal,92.0,32.0,6,34.0,119.0
Nokia,Mobil telefon,Nokia 216,Monoblok,Nano-SIM,2.4,1 Gb qədər,320 x 240,,TFT,,1.0,,Bəli,microSD,5 Mp qədər,0.3,,,3.0,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,2016.0,Çin,Finlandiya,SmartfonAdapterZəmanət kartıTəlimat,Qara,Plastik,118.0,91.0,13.5,50.2,140.0
Nokia,Mobil telefon,Nokia 8000,Monoblok,Nano-SIM,2.8,1 Gb qədər,320 x 240,4 Gb,TFT,,,4 Gb,Xeyr,,5 Mp qədər,2,,,,MicroUSB,Xeyr,,3000 qədər,2G3GLTE,Fənər,2020.0,Vyetnam,Finlandiya,SmartfonAdapterZəmanət kartıTəlimat,Ağ,Plastik,132.2,110.2,12.34,56.5,247.0
Nokia,Mobil telefon,Nokia 6300,Monoblok,Nano-SIM,2.4,4 Gb,320 x 240,4 Gb,TN,,4.0,4 Gb,Bəli,microSD,5 Mp qədər,0.3,,Bəli,4.0,MicroUSB,Xeyr,Toza davamlı,3000 qədər,2G3GLTE,Fənər,2020.0,Vyetnam,Finlandiya,Təlimat,Firuzəyi,Plastik,113.9,104.14,13.7,53.0,159.99
Nokia,Mobil telefon,Nokia 105,Monoblok,Mini-SIM,1.77,1 Gb qədər,160 x 128,4 Mb,TFT,,,1 Gb qədər,Xeyr,,,,,,,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,2019.0,Vyetnam,Finlandiya,,Göy,Plastik,119.0,74.0,14.4,49.2,59.0
Nokia,Mobil telefon,Nokia 216,Monoblok,Nano-SIM,2.4,1 Gb qədər,320 x 240,,TFT,,1.0,,Bəli,microSD,5 Mp qədər,0.3,,,3.0,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,2016.0,Çin,Finlandiya,SmartfonAdapterZəmanət kartıTəlimat,Qara,Plastik,118.0,91.0,13.5,50.2,140.0
Nokia,Mobil telefon,Nokia 8000,Monoblok,Nano-SIM,2.8,1 Gb qədər,320 x 240,4 Gb,TFT,,,4 Gb,Xeyr,,5 Mp qədər,2,,,,MicroUSB,Xeyr,,3000 qədər,2G3GLTE,Fənər,2020.0,Vyetnam,Finlandiya,SmartfonAdapterZəmanət kartıTəlimat,Ağ,Plastik,132.2,110.2,12.34,56.5,247.0
INOI,Mobil telefon,INOI 246Z,Monoblok,,2.4,,240 x 320,,TN,,,,Bəli,,5 Mp qədər,0.1,,,2.1,MicroUSB,Xeyr,,4000-4999,2G3G,,2019.0,Çin,Çin,SmartfonTəlimat,Qara,PlastikMetal,143.0,135.0,28.5,63.5,65.0
Nokia,Mobil telefon,Nokia 5310,Monoblok,Mini-SIM,2.4,1 Gb qədər,320 x 240,16 Mb,TFT,MediaTek MT6260A,,1 Gb qədər,Bəli,microSD,5 Mp qədər,2,,,,MicroUSB,Xeyr,Toza davamlı,3000 qədər,2G,,,,Finlandiya,,Qara,Plastik,123.7,88.8,13.1,52.4,115.0
Olmio,Mobil telefon,,Monoblok,Micro-SIM,2.4,,320 x 240,32 Mb,TFT,,,1 Gb qədər,Bəli,microSD,5 Mp qədər,1.3,,,2.1,,Xeyr,Toza davamlı,3000 qədər,2G,,,Çin,Çin,,Qara,MetalPlastik,133.0,139.0,14.5,61.0,179.0
INOI,Mobil telefon,INOI 246Z,Monoblok,,2.4,,240 x 320,,TN,,,,Bəli,,5 Mp qədər,0.1,,,2.1,MicroUSB,Xeyr,,4000-4999,2G3G,,2019.0,Çin,Çin,SmartfonTəlimat,Qara,PlastikMetal,143.0,135.0,28.5,63.5,65.0
INOI,Mobil telefon,,Monoblok,,1.8,,128 x 160,64 Mb,,SC6553,,1 Gb qədər,Bəli,microSD,,,,,,MicroUSB,Xeyr,,3000 qədər,2G,,2018.0,Çin,Rusiya,,Qara,Plastik,104.0,67.0,12.2,46.2,32.99
,Mobil telefon,XBOSS BM5310,Monoblok,Nano-SIM,1.33,1 Gb qədər,,,,,,,Bəli,microSD,5 Mp qədər,0.3,,,,,Xeyr,,3000 qədər,2G,Fənər,,Çin,Çin,Zəmanət kartıTəlimatSmartfon,Qara,Plastik,82.5,36.0,12.4,36.5,74.0
Siccoo,Mobil telefon,Siccoo S6700,Slayder,SIM,2.0,,,,,,,,Bəli,microSD,,,,,,,Xeyr,,3000 qədər,2G,,,Çin,Çin,TəlimatAdapter,Qara,Plastik,,,,,75.0
Nokia,Mobil telefon,Nokia 105,Monoblok,SIM,1.77,,160х128,4 Mb,TFT,,,1 Gb qədər,,,,,,,,MicroUSB,,,3000 qədər,2G,,2019.0,Çin,,,Çəhrayı,Plastik,119.0,74.0,14.4,49.2,69.0
Nokia,Mobil telefon,Nokia 216,Monoblok,Mini-SIM,2.4,1 Gb qədər,320 x 240,,TFT,,,,Bəli,microSDmicroSD,5 Mp qədər,0.3,5 Mp qədər,,3.0,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,2016.0,Finlandiya,,,Qara,Plastik,118.0,82.6,13.5,50.2,105.0
F+,Mobil telefon,F+ Flip,Açılan,Micro-SIM,2.8,,320 x 240,32 Mb,TFT,,,1 Gb qədər,Bəli,,5 Mp qədər,0.3,,,3.0,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,,Çin,,,Göy,Plastik,106.5,115.0,15.5,,95.0
Itel,Mobil telefon,Itel IT2163,Monoblok,Mini-SIM,1.77,,160 x 128,,TFT,,,,Bəli,microSD,,,,,2.1,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,,Çin,Çin,,Qara,Plastik,114.0,75.7,14.3,49,34.5
F+,Mobil telefon,F+ Flip,Açılan,Micro-SIM,2.8,1 Gb qədər,320 x 240,32 Mb,QVGA,,,1 Gb qədər,Bəli,microSD,5 Mp qədər,0.3,,,3.0,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,,Çin,Rusiya,SmartfonBatareyaAdapterTəlimat,Qara,Plastik,106.5,115.0,15.5,55.5,63.7
Nokia,Mobil telefon,Nokia 515,Monoblok,Micro-SIM,2.4,,320 x 240,,TFT,,,,Bəli,microSD,5 Mp qədər,5,,,,,Xeyr,Toza davamlı,3000 qədər,2G3G,,,,Finlandiya,,Qara,Plastik,114.0,102.7,11.0,48,149.0
Fly,Mobil telefon,F+ Flip 2,Açılan,Mini-SIM,2.4,1 Gb qədər,320 x 240,32 Mb,TN,,,1 Gb qədər,Bəli,,5 Mp qədər,0.1,,,3.0,MicroUSB,Xeyr,,3000 qədər,2G,,,Çin,Böyük Britaniya,SmartfonTəlimat,Qara,Plastik,106.0,100.0,15.0,51,68.0
Fly,Mobil telefon,,Monoblok,,3.5,,480 x 320,32 Mb,,,,1 Gb qədər,,,5 Mp qədər,0.3,,,,MicroUSB,Xeyr,,3000 qədər,,Zərbəyə davamlı korpus,,Çin,Böyük Britaniya,,Boz,Metal,149.0,126.0,10.8,64.4,89.0
Siccoo,Mobil telefon,Siccoo S6700,Slayder,SIM,2.0,,,,,,,,Bəli,microSD,,,,,,,Xeyr,,3000 qədər,2G,,,Çin,Çin,TəlimatAdapter,Qara,Plastik,,,,,75.0
INOI,Mobil telefon,INOI 106Z,Monoblok,Micro-SIM,1.8,,320 x 240,32 Mb,,Spreadtrum SC6531,1.0,1 Gb qədər,Bəli,microSDmicroSDHCmicroSDXC,,,,,,MicroUSB,Xeyr,Zərbəyə davamlı,3000 qədər,2G,Fənər,2019.0,Çin,Çin,SmartfonTəlimatKabel,Qara,PlastikMetal,114.0,120.0,18.0,51,39.19
Nokia,Mobil telefon,Nokia 2720,Açılan,Nano-SIM,2.8,1 Gb qədər,320 x 240,,TFT,,2.0,4 Gb,Bəli,microSD,5 Mp qədər,2,,Bəli,4.2,MicroUSB,Xeyr,,3000 qədər,LTE,Fənər,2019.0,Vyetnam,Finlandiya,SmartfonQulaqlıqAdapterZəmanət kartıTəlimat,Qara,Plastik,192.7,118.0,11.6,54.5,214.77
Nokia,Mobil telefon,Nokia 210,Monoblok,Nano-SIM,2.4,1 Gb qədər,320 x 240,,TFT,,1.0,,Bəli,microSD,5 Mp qədər,0.3,,,3.0,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,2019.0,Çin,Finlandiya,SmartfonAdapterZəmanət kartıTəlimat,Qara,Plastik,120.8,99.5,13.81,53.49,94.32
Hope,Mobil telefon,Hope SQ,Monoblok,Mini-SIM,2.8,,320 x 240,64 Mb,LCD,,,1 Gb qədər,Bəli,microSD,5 Mp qədər,1.3,,,,MicroUSB,Xeyr,,,2G,,,Çin,Çin,SmartfonAkkumulyatorAdapterÇexol,Narıncı,Metal,139.1,90.0,7.4,56,81.25
Nokia,Mobil telefon,Nokia 150,Monoblok,SIM,2.4,1 Gb qədər,320 x 240,4 Mb,TFT,,,1 Gb qədər,Bəli,microSD,5 Mp qədər,0.3,,,3.0,MicroUSB,Xeyr,Toza davamlı,3000 qədər,2G,Fənər,2020.0,Vyetnam,Finlandiya,Təlimat,Qara,Plastik,132.0,90.53,15.0,50.5,89.99
Hope,Mobil telefon,Hope S23,Monoblok,,2.4,1 Gb qədər,,256 Mb,,,,1 Gb qədər,,,5 Mp qədər,,,,,,Xeyr,,3000 qədər,,Zərbəyə davamlı korpusToza qarşı müdafiə,,Çin,Çin,,Qara,PlastikRezin,126.0,110.0,20.0,60,65.0
SQ,Mobil telefon,SQ 58,Monoblok,,2.8,,,,,,,,,,,,,,,,,,,,Fənər,,Çin,Çin,Smartfon,Qara,,,,,,85.0
Siccoo,Mobil telefon,Siccoo S6700,Slayder,,1.6,,,,,,,,,,,,,,,,Xeyr,,,2G,Fənər,,Çin,Çin,Smartfon,Yaşıl,,,,,,85.0
Nokia,Mobil telefon,Nokia 2720,Açılan,Nano-SIM,2.8,1 Gb qədər,320 x 240,,TFT,,2.0,4 Gb,Bəli,microSD,5 Mp qədər,2,,Bəli,4.2,MicroUSB,Xeyr,,3000 qədər,LTE,Fənər,2019.0,Vyetnam,Finlandiya,SmartfonQulaqlıqAdapterZəmanət kartıTəlimat,Qara,Plastik,192.7,118.0,11.6,54.5,214.77
Nokia,Mobil telefon,Nokia 210,Monoblok,Nano-SIM,2.4,1 Gb qədər,320 x 240,,TFT,,1.0,,Bəli,microSD,5 Mp qədər,0.3,,,3.0,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,2019.0,Çin,Finlandiya,SmartfonAdapterZəmanət kartıTəlimat,Qara,Plastik,120.8,99.5,13.81,53.49,94.32
Hope,Mobil telefon,Hope SQ,Monoblok,Mini-SIM,2.8,,320 x 240,64 Mb,LCD,,,1 Gb qədər,Bəli,microSD,5 Mp qədər,1.3,,,,MicroUSB,Xeyr,,,2G,,,Çin,Çin,SmartfonAkkumulyatorAdapterÇexol,Narıncı,Metal,139.1,90.0,7.4,56,81.25
Nokia,Mobil telefon,Nokia 150,Monoblok,SIM,2.4,1 Gb qədər,320 x 240,4 Mb,TFT,,,1 Gb qədər,Bəli,microSD,5 Mp qədər,0.3,,,3.0,MicroUSB,Xeyr,Toza davamlı,3000 qədər,2G,Fənər,2020.0,Vyetnam,Finlandiya,Təlimat,Qara,Plastik,132.0,90.53,15.0,50.5,89.99
Elari,Mobil telefon,Elari NanoPhone,Monoblok,Micro-SIM,1.1,,64 x 128,32 Mb,OLED,,,1 Gb qədər,Bəli,microSD,,,,,3.0,,Xeyr,,3000 qədər,2G,,,Çin,,,Qızılı,Metal,92.0,32.0,6.0,34,125.8
Nokia,Mobil telefon,Nokia 8110,Slayder,Micro-SIMNano-SIM,2.4,1 Gb qədər,320 x 240,4 Gb,TFT,,2.0,4 Gb,Bəli,microSD,5 Mp qədər,2,,Bəli,4.1,MicroUSB,Xeyr,,3000 qədər,2G3GLTE,Fənər,2018.0,Çin,,,Sarı,PlastikŞüşə,133.5,117.0,14.9,49.3,149.0
Siccoo,Mobil telefon,Siccoo S6700,Slayder,SIM,2.0,,,,,,,,Bəli,microSD,,,,,,,Xeyr,,3000 qədər,2G,,,Çin,Çin,TəlimatAdapter,Qırmızı,Plastik,,,,,79.9
Itel,Mobil telefon,Itel IT2320 DS,Monoblok,Mini-SIM,1.77,,160 x 128,32 Mb,TN,,,1 Gb qədər,Bəli,microSD,5 Mp qədər,,,,2.1,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,,Çin,Çin,SmartfonTəlimatAdapter,Qara,Plastik,119.5,95.0,13.9,51,31.8
Itel,Mobil telefon,Itel IT5026 DS,Monoblok,Mini-SIM,2.4,,320 x 240,,TN,,,1 Gb qədər,Bəli,microSD,5 Mp qədər,,,,2.1,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,,Çin,Çin,SmartfonTəlimatAdapter,Qara,Plastik,131.5,85.0,12.0,55,29.5
Nokia,Mobil telefon,Nokia 3310 DS,Monoblok,Micro-SIM,2.4,,320 x 240,16 Mb,TFT,,,1 Gb qədər,Bəli,,5 Mp qədər,,,Xeyr,3.0,MicroUSB,Xeyr,Toza davamlı,3000 qədər,2G,Fənər,2017.0,Çin,Finlandiya,SmartfonTəlimatAdapter,Qırmızı,Plastik,115.6,85.0,12.8,51,169.0
Hope,Mobil telefon,Hope SQ,Monoblok,Mini-SIM,2.4,,320 x 240,16 Mb,LCD,,,1 Gb qədər,Bəli,microSD,,1.3,,,,MicroUSB,Xeyr,,,2G,FənərPower Bank,,Çin,Çin,SmartfonAkkumulyatorAdapterAntennaÇexol,Qara,Plastik,140.0,150.0,27.0,64,85.0
INOI,Mobil telefon,,Monoblok,,1.77,1 Gb qədər,128 x 160,64 Mb,,Spreadtrum SC6553G,,1 Gb qədər,Bəli,microSD,5 Mp qədər,,,,,MicroUSB,Xeyr,,3000 qədər,2G,,,Çin,Rusiya,,Qara,Plastik,118.3,52.0,14.1,47.6,34.19
INOI,Mobil telefon,,Monoblok,,1.8,1 Gb qədər,128 x 160,32 Mb,,Spreadtrum SC6531E,,1 Gb qədər,Bəli,microSD,5 Mp qədər,,,,2.1,MicroUSB,Xeyr,,3000 qədər,2G,,,Çin,Rusiya,,Qara,Plastik,108.0,81.0,15.6,46.5,37.99
Nokia,Mobil telefon,Nokia 216,Monoblok,Mini-SIM,2.4,,320 x 240,,TFT,,,1 Gb qədər,Bəli,microSD,5 Mp qədər,0.3,5 Mp qədər,,3.0,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,2016.0,Çin,,,Qara,Plastik,118.0,83.0,13.5,50.2,89.0
Nokia,Mobil telefon,Nokia 210,Monoblok,Mini-SIM,2.4,,320 x 240,16 Mb,TFT,,,1 Gb qədər,Bəli,microSD,5 Mp qədər,0.3,,,3.0,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,2019.0,Çin,,,Boz,Plastik,120.8,82.0,13.8,53.5,79.0
F+,Mobil telefon,F+ F,Monoblok,Mini-SIM,1.77,,160 x 128,32 Mb,TFT,,,1 Gb qədər,Bəli,microSD,,,,,2.1,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,,Çin,,,Qara,Plastik,114.2,71.0,14.2,47.8,29.0
Itel,Mobil telefon,Itel IT4510,Monoblok,Mini-SIM,2.4,1 Gb qədər,320 x 240,,TFT,,,1 Gb qədər,Bəli,microSD,5 Mp qədər,0.8,,,2.1,MicroUSB,Xeyr,Zərbəyə davamlı,3000 qədər,2G,FənərZərbəyə davamlı korpus,,Çin,Çin,,Qara,Plastik,136.0,268.0,14.4,60,59.9
Nokia,Mobil telefon,Nokia 216,Monoblok,Mini-SIM,2.4,,320 x 240,,TFT,,,1 Gb qədər,Bəli,microSD,5 Mp qədər,0.3,5 Mp qədər,,3.0,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,2016.0,Çin,,,Qara,Plastik,118.0,83.0,13.5,50.2,89.0
Nokia,Mobil telefon,Nokia 210,Monoblok,Mini-SIM,2.4,,320 x 240,16 Mb,TFT,,,1 Gb qədər,Bəli,microSD,5 Mp qədər,0.3,,,3.0,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,2019.0,Çin,,,Boz,Plastik,120.8,82.0,13.8,53.5,79.0
F+,Mobil telefon,F+ F,Monoblok,Mini-SIM,1.77,,160 x 128,32 Mb,TFT,,,1 Gb qədər,Bəli,microSD,,,,,2.1,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,,Çin,,,Qara,Plastik,114.2,71.0,14.2,47.8,29.0
Itel,Mobil telefon,Itel IT4510,Monoblok,Mini-SIM,2.4,1 Gb qədər,320 x 240,,TFT,,,1 Gb qədər,Bəli,microSD,5 Mp qədər,0.8,,,2.1,MicroUSB,Xeyr,Zərbəyə davamlı,3000 qədər,2G,FənərZərbəyə davamlı korpus,,Çin,Çin,,Qara,Plastik,136.0,268.0,14.4,60,59.9
Hope,Mobil telefon,Hope SQ,Monoblok,Mini-SIM,2.4,,320 x 240,16 Mb,LCD,,,1 Gb qədər,Bəli,microSD,5 Mp qədər,1.3,,,,MicroUSB,Xeyr,,,2G,Fənər,,Çin,Çin,SmartfonAkkumulyatorAdapter,Qara,Plastik,128.0,90.0,16.0,55,74.25
Hope,Mobil telefon,Hope SQ,Monoblok,Mini-SIM,2.4,,320 x 240,16 Mb,LCD,,,1 Gb qədər,Bəli,microSD,,1.3,,,,MicroUSB,Xeyr,,,2G,FənərPower Bank,,Çin,Çin,SmartfonAkkumulyatorAdapterAntennaÇexol,Qara,Plastik,140.0,150.0,27.0,64,85.0
INOI,Mobil telefon,,Monoblok,,1.77,1 Gb qədər,128 x 160,64 Mb,,Spreadtrum SC6553G,,1 Gb qədər,Bəli,microSD,5 Mp qədər,,,,,MicroUSB,Xeyr,,3000 qədər,2G,,,Çin,Rusiya,,Qara,Plastik,118.3,52.0,14.1,47.6,34.19
INOI,Mobil telefon,,Monoblok,,1.8,1 Gb qədər,128 x 160,32 Mb,,Spreadtrum SC6531E,,1 Gb qədər,Bəli,microSD,5 Mp qədər,,,,2.1,MicroUSB,Xeyr,,3000 qədər,2G,,,Çin,Rusiya,,Qara,Plastik,108.0,81.0,15.6,46.5,37.99
Realfone,Mobil telefon,Realfone 1100,Monoblok,,1.44,,,,,,,,,,,,,,5.0,,,,3000 qədər,2G,Fənər,,Çin,Çin,SmartfonTəlimat,Qara,Plastik,,,,,45.0
,Mobil telefon,Servo V9500,Monoblok,Nano-SIMSIM,2.4,1 Gb qədər,,,,,,,Bəli,microSD,,,,,,,Xeyr,,,2G,Fənər,,Çin,Çin,Zəmanət kartıTəlimatSmartfon,Qara,Plastik,119.0,99.0,13.5,50,114.0
Nokia,Mobil telefon,Nokia 3310,Monoblok,Nano-SIM,2.4,1 Gb qədər,320 x 240,,TFT,,1.0,,Bəli,microSD,5 Mp qədər,2,,,3.0,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,2019.0,Vyetnam,Finlandiya,SmartfonAdapterZəmanət kartıTəlimat,Göy,Plastik,115.6,78.0,12.8,51,124.3
Nokia,Mobil telefon,Nokia 150,Monoblok,Mini-SIM,2.4,,320 x 240,,TFT,,1.0,,Bəli,microSDmicroSD,5 Mp qədər,0.3,,Xeyr,3.0,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,2016.0,Çin,,,Ağ,Plastik,118.0,81.0,13.5,52,75.0
Nokia,Mobil telefon,Nokia 8110,Slayder,Micro-SIMNano-SIM,2.4,1 Gb qədər,320 x 240,4 Gb,TFT,,2.0,4 Gb,Bəli,microSD,5 Mp qədər,2,,Bəli,4.1,MicroUSB,Xeyr,,3000 qədər,2G3GLTE,Fənər,2018.0,Çin,,,Qara,PlastikŞüşə,133.5,117.0,14.9,49.3,179.0
Alcatel,Mobil telefon,Alcatel 2003D,Monoblok,Micro-SIM,2.4,1 Gb qədər,320 x 240,4 Mb,,Spreadtrum SC6531E,1.0,1 Gb qədər,Bəli,microSD,5 Mp qədər,0.3,,,2.1,MicroUSB,Xeyr,,3000 qədər,2G,,2020.0,Çin,Fransa,SmartfonTəlimatZəmanət kartıAdapter,Qara,Plastik,118.0,72.0,10.3,49,42.2
INOI,Mobil telefon,INOI 241,Monoblok,Mini-SIM,2.4,,320 x 240,32 Mb,,,,1 Gb qədər,Bəli,microSDmicroSDHCmicroSDXC,5 Mp qədər,,,,4.0,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,2021.0,Çin,Çin,SmartfonTəlimatKabel,Qara,Plastik,121.6,111.0,11.3,49,42.13
Nokia,Mobil telefon,Nokia 302,Monoblok,,2.4,,320 x 240,,TFT,,,,,microSD,5 Mp qədər,3,,Bəli,2.1,,Xeyr,Toza davamlı,3000 qədər,2G3G,,,,Finlandiya,,Boz,PoladPlastik,115.2,106.0,13.5,58.9,129.0
Olmio,Mobil telefon,,Monoblok,Micro-SIM,2.4,,320 x 240,32 Mb,TFT,,,1 Gb qədər,Bəli,microSD,5 Mp qədər,0.3,,,2.1,,Xeyr,Toza davamlı,3000 qədər,2G,,,Çin,Çin,,Qara,Plastik,130.0,120.0,14.5,56,110.0
Nokia,Mobil telefon,Nokia 8110,Slayder,Micro-SIMNano-SIM,2.4,1 Gb qədər,320 x 240,4 Gb,TFT,,2.0,4 Gb,Bəli,microSD,5 Mp qədər,2,,Bəli,4.1,MicroUSB,Xeyr,,3000 qədər,2G3GLTE,Fənər,2018.0,Çin,,,Qara,PlastikŞüşə,133.5,117.0,14.9,49.3,179.0
Nokia,Mobil telefon,Nokia 105,Monoblok,Mini-SIM,1.77,1 Gb qədər,160 x 128,,TFT,MediaTek MT6261D,,,Xeyr,Yoxdur,,,,,,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,,Çin,Finlandiya,SmartfonZəmanət kartıTəlimat,Qara,Plastik,119.0,73.0,14.4,49.2,44.3
Alcatel,Mobil telefon,Alcatel 2003D,Monoblok,Micro-SIM,2.4,1 Gb qədər,320 x 240,4 Mb,,Spreadtrum SC6531E,1.0,1 Gb qədər,Bəli,microSD,5 Mp qədər,0.3,,,2.1,MicroUSB,Xeyr,,3000 qədər,2G,,2020.0,Çin,Fransa,SmartfonTəlimatZəmanət kartıAdapter,Qara,Plastik,118.0,72.0,10.3,49,42.2
INOI,Mobil telefon,INOI 241,Monoblok,Mini-SIM,2.4,,320 x 240,32 Mb,,,,1 Gb qədər,Bəli,microSDmicroSDHCmicroSDXC,5 Mp qədər,,,,4.0,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,2021.0,Çin,Çin,SmartfonTəlimatKabel,Qara,Plastik,121.6,111.0,11.3,49,42.13
